,cluster,silhouette
1104,2,0.5095059871673584
1105,1,0.5236735343933105
1106,0,0.6442270278930664
1108,1,0.5307616591453552
1109,1,0.5140258073806763
1111,0,0.635952353477478
1112,1,0.6455992460250854
1113,0,0.534163773059845
1114,0,0.5358078479766846
1115,2,0.5438494086265564
1116,2,0.48765870928764343
1117,1,0.6718796491622925
1118,1,0.6720030903816223
1119,2,0.5923999547958374
1120,2,0.08762901276350021
1121,2,0.47744518518447876
1122,1,0.4866318702697754
1123,0,0.46798428893089294
1124,2,0.4804183840751648
1125,0,0.4461899995803833
1126,2,0.494627982378006
1127,0,0.6514237523078918
1131,2,0.37077316641807556
1132,0,0.6237150430679321
1133,0,0.6178390383720398
1134,2,0.511900782585144
1135,0,0.6625783443450928
1136,0,0.5399034023284912
1137,0,0.5396841764450073
1138,1,0.6337202191352844
1139,1,0.6434680223464966
1140,2,0.4481017589569092
1141,1,0.6125912070274353
1143,1,0.6180568337440491
1145,2,0.23215660452842712
1146,2,-0.07684249430894852
1147,2,0.5394915342330933
1148,0,0.5937438607215881
1149,1,0.4885340929031372
1150,2,0.1879073530435562
1151,1,0.6384169459342957
1152,1,0.5906335711479187
1153,0,0.6177985072135925
1154,0,0.6153491139411926
1155,2,0.49019932746887207
1156,2,0.007763448171317577
1157,2,0.48077383637428284
1158,1,0.4466182589530945
1159,2,0.5955812931060791
1160,0,0.619966983795166
1161,0,0.6214142441749573
1162,1,0.6658750772476196
1166,2,0.47073933482170105
1167,2,0.08510345220565796
1168,1,0.6395506262779236
1169,2,0.36919283866882324
1170,2,0.5287841558456421
1171,2,0.456929087638855
1172,2,0.2503517270088196
1173,1,0.65159010887146
1174,2,0.5670309066772461
1175,2,0.41352060437202454
1176,2,0.5216259956359863
1177,0,0.6857414841651917
1178,1,0.5685589909553528
1179,0,0.6471605896949768
1180,0,0.6624374389648438
1181,2,0.5129563808441162
1182,2,0.5986967086791992
1183,2,0.3876705765724182
1184,1,0.5492333769798279
1185,2,0.5189383029937744
1186,0,0.6130995154380798
1187,0,0.5538421869277954
1189,1,0.5194000005722046
1190,2,0.009602430276572704
1191,2,0.4176125228404999
1192,0,0.6345954537391663
1193,2,0.4517229497432709
1194,0,0.14838527143001556
1195,0,0.606235921382904
1196,2,0.3614996671676636
1197,1,0.5076505541801453
1199,1,0.6289140582084656
1200,1,0.6338366866111755
1201,1,0.6076589226722717
1202,2,0.35890018939971924
1203,2,-0.19086040556430817
1204,2,-0.18768851459026337
1205,2,-0.1903878152370453
1206,1,0.5580520629882812
1207,1,0.5404174327850342
1212,2,0.5006529092788696
1213,1,0.6053476333618164
1214,2,0.032679323107004166
1215,1,0.4389311671257019
1216,1,0.5196802616119385
1217,2,0.5192210674285889
1218,2,-0.04398651793599129
1219,2,0.4569367468357086
